id,name,en_name,code,상세페이지 1차 완성,상세페이지 2차 완성
22156,보틀벙커 X 전통주 인문학 여행 by 탁재형PD,BOTTLE BUNKER X Traditional Liquor & Humanities Lecture,29823,False,True
22157,"르 브룬 드 누빌, 밀레짐 2012","Le Brun de Neuville, Millesime 2012",29824,True,False
22158,듀발 르로이 블랑 드 블랑 브뤼 리저브 2012,"Duval-Leroy, Blanc de Blancs Brut Reserve 2012",29825,True,False
22159,"오헬리엉 베르데, 샹볼 뮈지니","Aurelien Verdet, Chambolle- Musigny",29826,True,False
22160,도미니크 로랑 지브리 샹베르땡 V.V 2021,"Dominique Laurent, Gevrey Chambertin V.V 2021",29827,True,False
22161,윌렛 퓨어 켄터키 XO,Willett Pure Kentucky XO,29828,True,False
22162,데틀링 CS 싱글배럴,Dettling Cask Strength Single Barrel,29829,True,False
22163,올드맨 윈터,Old Man Winter,29830,True,False
22164,베리 올드 세인트 닉 훼이스 앤 컨빅션,Very Olde St Nick Faith Conviction,29831,True,False
22165,베리 올드 세인트 닉 썸머 라이 CS,Very Olde st Nick Summer Rye Cask Strength,29832,True,False
22166,와티분 앤 선즈 11년,Wattie Boone & Sons 11yo,29833,True,False
22167,베리 올드 세인트 닉 윈터 라이,Very Olde st Nick Winter Rye,29834,True,False
22168,레어 퍼펙션 14년,Rare Perfection 14yo,29835,True,False
22169,레어 퍼펙션 15년 CS,Rare Perfection 15yo Cask Strength,29836,True,False
22170,버팔로 트레이스 & 메이커스 마크,Buffalo Trace & Maker's Mark,29837,True,True
22171,버팔로 트레이스 & 산토리 가쿠빈,Buffalo Trace & Suntory Kakubin,29838,True,True
22172,마이셀 앤 프렌즈 마크스 초콜릿 복,Maisel & Friends Marks Chocolate Bock,29839,True,False
22173,주라 10년 플라스크 패키지,Isle of Jura 10yo Flask Package,29840,True,True
22174,글렌레어드 12년,Glenlaird 12yo,29841,True,False
22175,글렌레어드 10년,Glenlaird 10yo,29842,True,False
22176,카루소 앤 미니니 나투랄멘테 비오 페리코네,Caruso & Minini Naturalmente Bio Perricone,29843,True,False
22177,줄리아 네그리 라 타르투라이아 바롤로 2017,Giulia Negri Barolo 'La Tartufaia' 2017,29844,False,True
22178,도멘 니콜라 로시뇰 볼네 프리미에 크뤼 슈브레 2015,Domaine Nicolas Rossignol Volnay 1er Cru Chevret 2015,29845,True,False
22179,도멘 니콜라 로시뇰 볼네 프리미에 크뤼 슈브레 2019,Domaine Nicolas Rossignol Volnay 1er Cru Chevret 2019,29846,True,False
22180,도멘 니콜라 로시뇰 볼네 프리미에 크뤼 미탕 2019,Domaine Nicolas Rossignol Volnay 1er Cru Mitans 2019,29847,True,False
22181,까사 콘포르토 끼안띠 슈페리오레,Casa Conforto Chianti Superiore,29848,True,False
22182,카루소 앤 미니니 네바코 네로 다볼라,Caruso & Minini Nebacco Nero d'Avola,29849,True,False
22183,카루소 앤 미니니 프라포 로제,Caruso & Minini Frappo Rosè,29850,True,False
22184,"산 살바토레, 베테레 패스툼 알리아니코 로사토","San Salvatore, Vetere Paestum Aglianico Rosato",29851,True,False
22185,페트롤로 토리오네 2015,Petrolo Torrione 2015,29852,True,False
22187,페트롤로 토리오네 2016,Petrolo Torrione 2016,29853,True,False
22190,페트롤로 토리오네 2017,Petrolo Torrione 2017,29854,True,False
22191,페트롤로 토리오네 2018,Petrolo Torrione 2018,29855,True,False
22192,페트롤로 토리오네 2019,Petrolo Torrione 2019,29856,True,False
22193,"알피에리, 스푸만테 모스카토","Alfieri, Spumante Moscato",29857,True,False
22194,"알피에리, 스푸만테 브뤼","Alfieri, Spumante Brut",29858,True,False
22195,웨일본 베이 소비뇽 블랑 & 핀카 바카라 3015(고래),Whalebone Bay Sauvignon Blanc & 	Finca Bacara 3015,29859,True,False
22196,"퀘르치아벨라, 투르피노 토스카나 로쏘 & 빌라 안티노리 끼안티 클라스코 리제르바","Querciabella, Turpino Toscana Rosso & VILLA ANTINORI CHIANTI CLASSICO RISERVA",29860,True,False
22197,[6/7 금요일권] 카보닉 울트라 에디션 UMF 초대권 패키지,Carbonic Ultra Limited Edition UMF Ticket Package,29861,False,True
22198,카멜 로드 몬테레이 피노 누아 & 브레드 앤 버터 피노 누아,Carmel Road Monterey Pinot Noir & Bread & Butter Pinot Noir,29862,True,False
22199,스미노프 골드 1L,Smirnoff Gold 1L,29863,False,False
22200,장 퓨 14 앙다주,Jean Fillioux 14 ANS D’AGE,29864,True,False
22201,동두천 헬레스라거,Dongducheon Helles Lager,29865,True,False
22202,브란콧 에스테이트 소비뇽 블랑 2023,Brancott Estate Sauvignon Blanc 2023,29866,True,True
22203,닷사이 블루 타입 23,Dassai blue type 23,29867,True,True
22204,닷사이 블루 타입 50,Dassai blue type 50,29868,True,True
22205,남부비진 준마이 긴죠,Nambu Bijin Junmai Ginjo,29869,True,True
22206,남부비진 토쿠베츠 준마이,Nambu Bijin Tokubetsu Junmai,29870,True,True
22207,도멘 미쉘롯 뫼르소 레 그랑 샤롱,Domaine Michelot Meursault Les Grands Charrons,29871,True,False
22208,사시까이아 2020 & 고든 앤 맥페일 코노세어 초이스 2010 쿨일라 사시까이아 12년,Sassicaia 2020 & Gordon and MacPhail Conosair Choice 2010 Caol Ila Sassicaia 12yo,29872,True,True
22209,오리지널비어컴퍼니 베텔게우스,Original Beer Company Betelgeuse,29873,True,True
22210,트랜스컨티넨탈 럼 라인 자메이카 WP 2007,Transcontinental Rum Line Jamaica WP 2007,29874,True,False
22211,트랜스컨티넨탈 럼 라인 엘살바도르 2007,Transcontinental Rum Line El Salvador 2007,29875,True,False
22214,윈저 W 17년 450ml,윈저 W 17년 450ml,29878,True,False
22215,도멘 A.F 그로 본 로마네 오 레아,Domaine A.F Gors Vosne Romanee Aux Reas,29879,True,False
22216,도멘 A.F 그로 쥬브레 샹베르땅 2021,"Domaine A.F Gros, Gevrey Chambertin 2021",29880,True,False
22217,제롬 프레보 라 클로즈리 그랑 크뤼 엑스트라 브뤼,Jérôme Prévost La Closerie Grand Cru Extra Brut,29881,True,False
22218,"제롬 프레보, 라 끌로즈리 팩시밀리 로제 블랑 드 누아 엑스트라 브뤼",Jerome Prevost La Closerie Fac-simile Rose Blanc de Noirs Extra Brut,29882,True,False
22219,"제롬 프레보, 라 끌로즈리 블랑 드 누아 엑스트라 브뤼 2021","Jerome Prevost, La Closerie Blanc de Noirs Extra brut 2021",29883,True,False
22220,흐노당 리저브 블랑 드 블랑 브뤼,R.Renaudin Blanc de Blancs Brut,29884,True,False
22221,흐노당 레스피에글 블랑 드 블랑 브뤼 2013,R. Renaudin l'Espiegle Blanc de Blancs Brut 2013,29885,True,False
22222,흐노당 레스피에글 블랑 드 블랑 브뤼 2000,R. Renaudin l'Espiegle Blanc de Blancs Brut 2000,29886,True,False
22223,흐노당 블랑 드 블랑 브뤼 나뚜르 2005,R.Renaudin Blanc de Blancs Brut Nature 2005,29887,True,False
22224,"도멘 폴 피요, 부르고뉴 피노누아","Domaine Paul Pillot, Bourgogne Pinot Noir",29888,True,False
22225,도멘 폴 피요 부르고뉴 샤르도네,Domaine Paul Pillot Bourgogne Chardonnay,29889,True,False
22226,루이즈 브리종 아 로브 드 라 꼬뜨 데 바 엑스트라 브뤼 2017,Louise Brison A l'Aube de la Cote Des Bar Extra Brut 2017,29890,True,False
22227,피에르 파이야 부지 그랑 크뤼 레 떼흐 로제 엑스트라 브뤼,Pierre Paillard Bouzy Grand Cru Les Terres Roses Extra Brut,29891,True,False
22228,피에르 파이야 레 파셀 부지 그랑 크뤼 엑스트라 브뤼 2019,Pierre Paillard Les Parcelles Bouzy Grand Cru Extra Brut 2019,29892,True,False
22229,"르 브룬 드 누빌, 밀레짐 2012 & 듀발 르로이 블랑 드 블랑 브뤼 리저브 2012","Le Brun de Neuville, Millesime 2012 & Duval-Leroy, Blanc de Blancs Brut Reserve 2012",29893,True,False
22230,"오헬리엉 베르데, 샹볼 뮈지니 & 도미니크 로랑 지브리 샹베르땡 V.V 2021","Aurelien Verdet, Chambolle- Musigny & Dominique Laurent, Gevrey Chambertin V.V 2021",29894,True,False
22231,올드 닉 다크 럼,Old Nick Dark Rum,29895,True,True
22232,야마자키 12년 100주년 기념 에디션 예약권,Yamazaki 12yo 100th Anniversary Edition,29896,False,False
22233,하쿠슈 12년 100주년 기념 에디션 예약권,Hakushu 12yo 100th Anniversary Edition,29897,False,False
22234,야마자키 DR 100주년 기념 에디션 예약권,Yamazaki DR 100th Anniversary Edition,29898,False,False
